dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.452452,5.256607,0.001500,0.300000,30.000000,3000.000000,0.017968
0.010000,0.458171,5.256711,0.007500,0.900000,60.000000,3000.000000,0.018495
0.010000,0.470169,5.256940,0.019500,1.500000,60.000000,0.000000,0.019545
0.010000,0.488165,5.257306,0.037500,2.100000,60.000000,-0.000000,0.021116
0.010000,0.512159,5.257837,0.061500,2.700000,60.000000,0.000000,0.023199
0.010000,0.540650,5.258533,0.090000,3.000000,30.000000,-3000.000000,0.025657
0.010000,0.570639,5.259342,0.120000,3.000000,0.000000,-3000.000000,0.028226
0.010000,0.600626,5.260227,0.150000,3.000000,0.000000,0.000000,0.030776
0.010000,0.630611,5.261188,0.180000,3.000000,0.000000,0.000000,0.033307
0.010000,0.660593,5.262224,0.210000,3.000000,0.000000,0.000000,0.035819
0.010000,0.690572,5.263336,0.240000,3.000000,0.000000,0.000000,0.038312
0.010000,0.720549,5.264522,0.270000,3.000000,0.000000,0.000000,0.040785
0.010000,0.750523,5.265782,0.300000,3.000000,0.000000,0.000000,0.043239
0.010000,0.780493,5.267116,0.330000,3.000000,0.000000,0.000000,0.045673
0.010000,0.810460,5.268522,0.360000,3.000000,0.000000,0.000000,0.048088
0.010000,0.840423,5.270000,0.390000,3.000000,0.000000,0.000000,0.050483
0.010000,0.870383,5.271549,0.420000,3.000000,0.000000,0.000000,0.052859
0.010000,0.900340,5.273170,0.450000,3.000000,0.000000,0.000000,0.055215
0.010000,0.930292,5.274860,0.480000,3.000000,0.000000,0.000000,0.057551
0.010000,0.960240,5.276620,0.510000,3.000000,0.000000,0.000000,0.059867
0.010000,0.990184,5.278450,0.540000,3.000000,0.000000,0.000000,0.062164
0.010000,1.020124,5.280348,0.570000,3.000000,0.000000,0.000000,0.064440
0.010000,1.050060,5.282313,0.600000,3.000000,0.000000,0.000000,0.066697
0.010000,1.079991,5.284346,0.630000,3.000000,0.000000,0.000000,0.068934
0.010000,1.109917,5.286446,0.660000,3.000000,0.000000,0.000000,0.071151
0.010000,1.139839,5.288612,0.690000,3.000000,0.000000,0.000000,0.073347
0.010000,1.169756,5.290843,0.720000,3.000000,0.000000,0.000000,0.075524
0.010000,1.199668,5.293139,0.750000,3.000000,0.000000,0.000000,0.077680
0.010000,1.229575,5.295499,0.780000,3.000000,0.000000,0.000000,0.079817
0.010000,1.259477,5.297922,0.810000,3.000000,0.000000,0.000000,0.081933
0.010000,1.289374,5.300409,0.840000,3.000000,0.000000,0.000000,0.084029
0.010000,1.319265,5.302958,0.870000,3.000000,0.000000,0.000000,0.086104
0.010000,1.349151,5.305569,0.900000,3.000000,0.000000,0.000000,0.088160
0.010000,1.379032,5.308240,0.930000,3.000000,0.000000,0.000000,0.090195
0.010000,1.408907,5.310973,0.960000,3.000000,0.000000,0.000000,0.092209
0.010000,1.438777,5.313765,0.990000,3.000000,0.000000,0.000000,0.094204
0.010000,1.468641,5.316616,1.020000,3.000000,0.000000,0.000000,0.096178
0.010000,1.498500,5.319526,1.050000,3.000000,0.000000,0.000000,0.098131
0.010000,1.528353,5.322495,1.080000,3.000000,0.000000,0.000000,0.100064
0.010000,1.558200,5.325520,1.110000,3.000000,0.000000,0.000000,0.101977
0.010000,1.588041,5.328602,1.140000,3.000000,0.000000,0.000000,0.103869
0.010000,1.617876,5.331741,1.170000,3.000000,0.000000,0.000000,0.105741
0.010000,1.647706,5.334935,1.200000,3.000000,0.000000,0.000000,0.107593
0.010000,1.677529,5.338184,1.230000,3.000000,0.000000,0.000000,0.109424
0.010000,1.707347,5.341487,1.260000,3.000000,0.000000,0.000000,0.111234
0.010000,1.737159,5.344844,1.290000,3.000000,0.000000,0.000000,0.113024
0.010000,1.766964,5.348254,1.320000,3.000000,0.000000,0.000000,0.114793
0.010000,1.796764,5.351716,1.350000,3.000000,0.000000,0.000000,0.116542
0.010000,1.826557,5.355230,1.380000,3.000000,0.000000,0.000000,0.118271
0.010000,1.856345,5.358796,1.410000,3.000000,0.000000,0.000000,0.119979
0.010000,1.886126,5.362411,1.440000,3.000000,0.000000,0.000000,0.121666
0.010000,1.915901,5.366077,1.470000,3.000000,0.000000,0.000000,0.123333
0.010000,1.945670,5.369793,1.500000,3.000000,0.000000,0.000000,0.124979
0.010000,1.975433,5.373556,1.530000,3.000000,0.000000,0.000000,0.126605
0.010000,2.005190,5.377368,1.560000,3.000000,0.000000,0.000000,0.128210
0.010000,2.034941,5.381228,1.590000,3.000000,0.000000,0.000000,0.129795
0.010000,2.064685,5.385134,1.620000,3.000000,0.000000,0.000000,0.131359
0.010000,2.094424,5.389086,1.650000,3.000000,0.000000,0.000000,0.132903
0.010000,2.124156,5.393085,1.680000,3.000000,0.000000,0.000000,0.134426
0.010000,2.153882,5.397128,1.710000,3.000000,0.000000,0.000000,0.135929
0.010000,2.183603,5.401215,1.740000,3.000000,0.000000,0.000000,0.137411
0.010000,2.213317,5.405346,1.770000,3.000000,0.000000,0.000000,0.138873
0.010000,2.241128,5.409266,1.800000,3.000000,0.000000,0.000000,0.141618
0.010000,2.270820,5.413553,1.830000,3.000000,0.000000,0.000000,0.145172
0.010000,2.300497,5.417945,1.860000,3.000000,0.000000,0.000000,0.148646
0.010000,2.330158,5.422439,1.890000,3.000000,0.000000,0.000000,0.152040
0.010000,2.359805,5.427032,1.920000,3.000000,0.000000,0.000000,0.155354
0.010000,2.389436,5.431722,1.950000,3.000000,0.000000,0.000000,0.158586
0.010000,2.419052,5.436506,1.980000,3.000000,0.000000,0.000000,0.161738
0.010000,2.448653,5.441383,2.010000,3.000000,0.000000,0.000000,0.164809
0.010000,2.478239,5.446349,2.040000,3.000000,0.000000,0.000000,0.167798
0.010000,2.507810,5.451403,2.070000,3.000000,0.000000,0.000000,0.170706
0.010000,2.537367,5.456541,2.100000,3.000000,0.000000,0.000000,0.173533
0.010000,2.566909,5.461762,2.130000,3.000000,0.000000,0.000000,0.176277
0.010000,2.596437,5.467062,2.160000,3.000000,0.000000,0.000000,0.178940
0.010000,2.625951,5.472440,2.190000,3.000000,0.000000,0.000000,0.181521
0.010000,2.655451,5.477893,2.220000,3.000000,0.000000,0.000000,0.184019
0.010000,2.684938,5.483418,2.250000,3.000000,0.000000,0.000000,0.186436
0.010000,2.714412,5.489013,2.280000,3.000000,0.000000,0.000000,0.188770
0.010000,2.743872,5.494676,2.310000,3.000000,0.000000,0.000000,0.191022
0.010000,2.773320,5.500404,2.340000,3.000000,0.000000,0.000000,0.193192
0.010000,2.802756,5.506195,2.370000,3.000000,0.000000,0.000000,0.195280
0.010000,2.832180,5.512046,2.400000,3.000000,0.000000,0.000000,0.197285
0.010000,2.861593,5.517955,2.430000,3.000000,0.000000,0.000000,0.199207
0.010000,2.890994,5.523919,2.460000,3.000000,0.000000,0.000000,0.201047
0.010000,2.920384,5.529936,2.490000,3.000000,0.000000,0.000000,0.202805
0.010000,2.949764,5.536003,2.520000,3.000000,0.000000,0.000000,0.204480
0.010000,2.979134,5.542118,2.550000,3.000000,0.000000,0.000000,0.206073
