dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.062074,7.324762,0.000028,0.005556,0.555556,55.555556,6.256987
0.010000,0.062067,7.324763,0.000035,0.000752,-0.480405,-103.596084,6.256960
0.010000,0.062050,7.324763,0.000052,0.001691,0.093921,57.432607,6.256900
0.010000,0.062022,7.324764,0.000080,0.002817,0.112662,1.874079,6.256800
0.010000,0.061982,7.324765,0.000120,0.003943,0.112583,-0.007871,6.256661
0.010000,0.061932,7.324766,0.000170,0.005068,0.112473,-0.011023,6.256482
0.010000,0.061870,7.324768,0.000232,0.006191,0.112331,-0.014179,6.256262
0.010000,0.062471,7.324751,0.000834,0.060197,5.400559,528.822828,6.256004
0.010000,0.063637,7.324720,0.002000,0.116569,5.637205,23.664543,6.255705
0.010000,0.064957,7.324683,0.003321,0.132113,1.554425,-408.277909,6.255367
0.010000,0.066433,7.324642,0.004798,0.147671,1.555840,0.141407,6.254990
0.010000,0.068065,7.324595,0.006430,0.163220,1.554838,-0.100167,6.254573
0.010000,0.069852,7.324544,0.008218,0.178783,1.556334,0.149578,6.254117
0.010000,0.071795,7.324487,0.010161,0.194339,1.555554,-0.077976,6.253622
0.010000,0.073893,7.324424,0.012260,0.209908,1.556955,0.140098,6.253088
0.010000,0.076146,7.324356,0.014515,0.225476,1.556787,-0.016757,6.252515
0.010000,0.078556,7.324281,0.016926,0.241047,1.557113,0.032525,6.251903
0.010000,0.081121,7.324200,0.019492,0.256625,1.557791,0.067892,6.251253
0.010000,0.083841,7.324112,0.022214,0.272212,1.558683,0.089201,6.250564
0.010000,0.086718,7.324017,0.025092,0.287800,1.558750,0.006635,6.249838
0.010000,0.089750,7.323915,0.028126,0.303393,1.559368,0.061773,6.249073
0.010000,0.092938,7.323805,0.031316,0.318993,1.559996,0.062800,6.248271
0.010000,0.096282,7.323687,0.034662,0.334600,1.560635,0.063944,6.247431
0.010000,0.099782,7.323560,0.038164,0.350212,1.561287,0.065208,6.246553
0.010000,0.103438,7.323424,0.041822,0.365832,1.561953,0.066596,6.245639
0.010000,0.107250,7.323279,0.045637,0.381460,1.562809,0.085623,6.244688
0.010000,0.111217,7.323124,0.049608,0.397098,1.563796,0.098676,6.243701
0.010000,0.115342,7.322959,0.053735,0.412740,1.564169,0.037326,6.242677
0.010000,0.119622,7.322784,0.058019,0.428389,1.564900,0.073100,6.241617
0.010000,0.124058,7.322597,0.062460,0.444052,1.566371,0.147049,6.240522
0.010000,0.128651,7.322398,0.067057,0.459721,1.566828,0.045674,6.239392
0.010000,0.133401,7.322187,0.071811,0.475398,1.567746,0.091803,6.238226
0.010000,0.138306,7.321963,0.076722,0.491089,1.569074,0.132829,6.237026
0.010000,0.143369,7.321727,0.081790,0.506786,1.569714,0.064061,6.235792
0.010000,0.148588,7.321476,0.087015,0.522495,1.570883,0.116875,6.234523
0.010000,0.153963,7.321210,0.092397,0.538217,1.572246,0.136297,6.233222
0.010000,0.159496,7.320930,0.097936,0.553946,1.572886,0.063983,6.231887
0.010000,0.165185,7.320634,0.103633,0.569688,1.574165,0.127875,6.230519
0.010000,0.171031,7.320322,0.109488,0.585447,1.575885,0.172012,6.229119
0.010000,0.177034,7.319993,0.115500,0.601213,1.576622,0.073747,6.227688
0.010000,0.183194,7.319646,0.121670,0.616992,1.577950,0.132790,6.226225
0.010000,0.189512,7.319281,0.127997,0.632785,1.579297,0.134723,6.224731
0.010000,0.195986,7.318897,0.134483,0.648592,1.580666,0.136851,6.223207
0.010000,0.202618,7.318494,0.141127,0.664413,1.582058,0.139173,6.221652
0.010000,0.209407,7.318070,0.147930,0.680247,1.583475,0.141686,6.220068
0.010000,0.216354,7.317625,0.154891,0.696096,1.584918,0.144390,6.218456
0.010000,0.223458,7.317159,0.162011,0.711961,1.586450,0.153170,6.216815
0.010000,0.230720,7.316670,0.169289,0.727844,1.588303,0.185309,6.215146
0.010000,0.238140,7.316158,0.176726,0.743739,1.589500,0.119641,6.213450
0.010000,0.245718,7.315622,0.184323,0.759650,1.591064,0.156454,6.211727
0.010000,0.253453,7.315062,0.192079,0.775582,1.593203,0.213920,6.209978
0.010000,0.261347,7.314476,0.199994,0.791527,1.594505,0.130176,6.208204
0.010000,0.269398,7.313864,0.208069,0.807491,1.596418,0.191302,6.206405
0.010000,0.277608,7.313224,0.216304,0.823473,1.598202,0.178367,6.204581
0.010000,0.285977,7.312558,0.224698,0.839474,1.600091,0.188863,6.202734
0.010000,0.294503,7.311862,0.233253,0.855491,1.601706,0.161532,6.200864
0.010000,0.303188,7.311137,0.241969,0.871533,1.604176,0.247004,6.198972
0.010000,0.312032,7.310382,0.250844,0.887589,1.605667,0.149153,6.197058
0.010000,0.321034,7.309596,0.259881,0.903667,1.607741,0.207399,6.195124
0.010000,0.330196,7.308778,0.269079,0.919765,1.609839,0.209792,6.193169
0.010000,0.339516,7.307928,0.278438,0.935886,1.612076,0.223648,6.191195
0.010000,0.348995,7.307044,0.287958,0.952027,1.614082,0.200639,6.189202
0.010000,0.358633,7.306125,0.297640,0.968189,1.616236,0.215430,6.187192
0.010000,0.368431,7.305172,0.307484,0.984374,1.618459,0.222247,6.185164
0.010000,0.378387,7.304183,0.317489,1.000581,1.620715,0.225615,6.183121
0.010000,0.388504,7.303156,0.327657,1.016811,1.623039,0.232391,6.181061
0.010000,0.398779,7.302092,0.337988,1.033066,1.625457,0.241784,6.178987
0.010000,0.409215,7.300990,0.348482,1.049343,1.627728,0.227097,6.176900
0.010000,0.419810,7.299849,0.359138,1.065644,1.630129,0.240071,6.174799
0.010000,0.430565,7.298667,0.369958,1.081970,1.632579,0.245085,6.172687
0.010000,0.441480,7.297444,0.380941,1.098323,1.635305,0.272609,6.170563
0.010000,0.452555,7.296179,0.392088,1.114699,1.637585,0.227926,6.168429
0.010000,0.463790,7.294872,0.403399,1.131102,1.640308,0.272335,6.166286
0.010000,0.475185,7.293521,0.414874,1.147531,1.642891,0.258244,6.164134
0.010000,0.486741,7.292127,0.426514,1.163987,1.645580,0.268924,6.161975
0.010000,0.498458,7.290686,0.438319,1.180469,1.648222,0.264196,6.159809
