dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.110133,0.918039,0.000028,0.005556,0.555556,55.555556,0.025691
0.010000,0.110123,0.918039,0.000038,0.000982,-0.457373,-101.292885,0.025725
0.010000,0.110101,0.918038,0.000060,0.002209,0.122714,58.008707,0.025804
0.010000,0.110064,0.918037,0.000096,0.003681,0.147221,2.450700,0.025934
0.010000,0.110013,0.918036,0.000148,0.005153,0.147156,-0.006492,0.026116
0.010000,0.109947,0.918034,0.000214,0.006623,0.147065,-0.009096,0.026351
0.010000,0.109866,0.918032,0.000295,0.008093,0.146948,-0.011708,0.026637
0.010000,0.109770,0.918030,0.000391,0.009561,0.146805,-0.014331,0.026975
0.010000,0.110765,0.918057,0.001386,0.099536,8.997525,885.072039,0.027366
0.010000,0.112056,0.918092,0.002678,0.129176,2.964014,-603.351042,0.027808
0.010000,0.113500,0.918133,0.004122,0.144365,1.518895,-144.511905,0.028302
0.010000,0.115095,0.918178,0.005717,0.159592,1.522676,0.378019,0.028847
0.010000,0.116842,0.918229,0.007465,0.174784,1.519220,-0.345557,0.029445
0.010000,0.118741,0.918286,0.009365,0.190002,1.521745,0.252532,0.030093
0.010000,0.120792,0.918348,0.011417,0.205207,1.520559,-0.118684,0.030794
0.010000,0.122995,0.918417,0.013622,0.220432,1.522427,0.186829,0.031545
0.010000,0.125351,0.918492,0.015978,0.235632,1.520094,-0.233263,0.032348
0.010000,0.127858,0.918575,0.018487,0.250879,1.524690,0.459587,0.033202
0.010000,0.130517,0.918664,0.021148,0.266092,1.521295,-0.339483,0.034107
0.010000,0.133329,0.918761,0.023961,0.281313,1.522114,0.081910,0.035063
0.010000,0.136293,0.918867,0.026927,0.296563,1.524981,0.286685,0.036070
0.010000,0.139409,0.918981,0.030045,0.311800,1.523644,-0.133710,0.037127
0.010000,0.142677,0.919104,0.033315,0.327039,1.523944,0.029956,0.038234
0.010000,0.146097,0.919237,0.036738,0.342286,1.524654,0.071040,0.039392
0.010000,0.149669,0.919380,0.040313,0.357539,1.525340,0.068617,0.040600
0.010000,0.153394,0.919534,0.044041,0.372799,1.526005,0.066433,0.041857
0.010000,0.157271,0.919698,0.047922,0.388066,1.526650,0.064499,0.043164
0.010000,0.161301,0.919875,0.051955,0.403338,1.527278,0.062823,0.044521
