dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.124650,0.353076,0.000027,0.005333,0.533333,53.333333,0.025690
0.010000,0.124660,0.353076,0.000036,0.000943,-0.439078,-97.241158,0.025724
0.010000,0.124681,0.353076,0.000057,0.002121,0.117806,55.688415,0.025799
0.010000,0.124719,0.353077,0.000095,0.003770,0.164892,4.708613,0.025932
0.010000,0.124775,0.353079,0.000152,0.005653,0.188370,2.347813,0.026132
0.010000,0.124851,0.353081,0.000227,0.007536,0.188242,-0.012774,0.026399
0.010000,0.124945,0.353083,0.000321,0.009416,0.188072,-0.017054,0.026732
0.010000,0.125414,0.353096,0.000791,0.046964,3.754794,356.672224,0.027132
0.010000,0.127039,0.353141,0.002416,0.162516,11.555208,780.041411,0.027598
0.010000,0.128895,0.353192,0.004273,0.185706,2.318999,-923.620889,0.028130
0.010000,0.130984,0.353252,0.006362,0.208922,2.321606,0.260693,0.028729
0.010000,0.133304,0.353319,0.008683,0.232119,2.319634,-0.197181,0.029394
0.010000,0.135856,0.353395,0.011237,0.255322,2.320328,0.069377,0.030125
0.010000,0.138640,0.353480,0.014022,0.278504,2.318198,-0.213011,0.030922
0.010000,0.141655,0.353575,0.017039,0.301715,2.321108,0.291004,0.031784
0.010000,0.144902,0.353679,0.020288,0.324886,2.317115,-0.399326,0.032712
0.010000,0.148381,0.353795,0.023768,0.348058,2.317208,0.009292,0.033705
0.010000,0.152091,0.353922,0.027481,0.371253,2.319471,0.226353,0.034764
0.010000,0.156033,0.354061,0.031425,0.394418,2.316490,-0.298113,0.035887
0.010000,0.160206,0.354214,0.035601,0.417577,2.315924,-0.056634,0.037076
0.010000,0.164610,0.354380,0.040008,0.440732,2.315433,-0.049065,0.038328
0.010000,0.169246,0.354561,0.044647,0.463880,2.314798,-0.063510,0.039645
0.010000,0.174112,0.354757,0.049517,0.487020,2.314021,-0.077711,0.041026
0.010000,0.179209,0.354970,0.054618,0.510151,2.313104,-0.091655,0.042471
0.010000,0.184537,0.355200,0.059951,0.533271,2.312051,-0.105330,0.043979
0.010000,0.190095,0.355449,0.065515,0.556381,2.310931,-0.111990,0.045550
0.010000,0.195884,0.355718,0.071310,0.579504,2.312385,0.145405,0.047183
0.010000,0.201903,0.356007,0.077336,0.602591,2.308627,-0.375831,0.048879
0.010000,0.208151,0.356318,0.083593,0.625661,2.307041,-0.158643,0.050637
0.010000,0.214630,0.356653,0.090080,0.648749,2.308791,0.175064,0.052456
0.010000,0.221339,0.357011,0.096798,0.671799,2.305035,-0.375654,0.054336
0.010000,0.228277,0.357395,0.103747,0.694848,2.304895,-0.013989,0.056277
0.010000,0.235444,0.357806,0.110925,0.717879,2.303039,-0.185559,0.058279
0.010000,0.242840,0.358245,0.118334,0.740905,2.302665,-0.037433,0.060339
0.010000,0.250464,0.358714,0.125973,0.763896,2.299071,-0.359338,0.062459
